Date, node, time since harvest, inventory quantity 
2018-09-04,retailer,3,0.00
2018-09-04,retailer,2,0.00
2018-09-04,retailer,1,0.00
2018-09-04,retailer,0,0.00
2018-09-05,supplier,9,4.33
2018-09-05,supplier,8,5.51
2018-09-05,supplier,7,0.00
2018-09-05,supplier,6,3.55
2018-09-05,supplier,5,6.76
2018-09-05,supplier,4,19.89
2018-09-05,supplier,3,12.69
2018-09-05,supplier,2,8.64
2018-09-05,supplier,1,0.00
2018-09-05,supplier,0,0.00
2018-09-05,retailer,9,17.00
2018-09-05,retailer,8,20.88
2018-09-05,retailer,7,0.00
2018-09-05,retailer,6,0.00
2018-09-05,retailer,5,0.00
2018-09-05,retailer,4,0.00
2018-09-05,retailer,3,0.00
2018-09-05,retailer,2,0.00
2018-09-05,retailer,1,0.00
2018-09-05,retailer,0,0.00
2018-09-06,supplier,9,5.51
2018-09-06,supplier,8,0.00
2018-09-06,supplier,7,3.55
2018-09-06,supplier,6,6.76
2018-09-06,supplier,5,5.26
2018-09-06,supplier,4,16.68
2018-09-06,supplier,3,14.14
2018-09-06,supplier,2,10.71
2018-09-06,supplier,1,0.00
2018-09-06,supplier,0,0.00
2018-09-06,retailer,9,20.88
2018-09-06,retailer,8,13.08
2018-09-06,retailer,7,0.00
2018-09-06,retailer,6,0.00
2018-09-06,retailer,5,0.00
2018-09-06,retailer,4,0.00
2018-09-06,retailer,3,0.00
2018-09-06,retailer,2,0.00
2018-09-06,retailer,1,0.00
2018-09-06,retailer,0,0.00
2018-09-07,supplier,9,0.00
2018-09-07,supplier,8,3.55
2018-09-07,supplier,7,6.76
2018-09-07,supplier,6,5.26
2018-09-07,supplier,5,0.38
2018-09-07,supplier,4,20.55
2018-09-07,supplier,3,14.16
2018-09-07,supplier,2,6.58
2018-09-07,supplier,1,0.00
2018-09-07,supplier,0,0.00
2018-09-07,retailer,9,13.08
2018-09-07,retailer,8,14.43
2018-09-07,retailer,7,4.19
2018-09-07,retailer,6,0.00
2018-09-07,retailer,5,0.00
2018-09-07,retailer,4,0.00
2018-09-07,retailer,3,0.00
2018-09-07,retailer,2,0.00
2018-09-07,retailer,1,0.00
2018-09-07,retailer,0,0.00
2018-09-08,supplier,9,3.55
2018-09-08,supplier,8,6.76
2018-09-08,supplier,7,5.26
2018-09-08,supplier,6,0.38
2018-09-08,supplier,5,1.05
2018-09-08,supplier,4,19.75
2018-09-08,supplier,3,11.31
2018-09-08,supplier,2,7.62
2018-09-08,supplier,1,0.00
2018-09-08,supplier,0,0.00
2018-09-08,retailer,9,13.89
2018-09-08,retailer,8,9.78
2018-09-08,retailer,7,0.00
2018-09-08,retailer,6,0.00
2018-09-08,retailer,5,0.00
2018-09-08,retailer,4,0.00
2018-09-08,retailer,3,0.00
2018-09-08,retailer,2,0.00
2018-09-08,retailer,1,0.00
2018-09-08,retailer,0,0.00
2018-09-09,supplier,9,6.76
2018-09-09,supplier,8,5.26
2018-09-09,supplier,7,0.38
2018-09-09,supplier,6,1.05
2018-09-09,supplier,5,4.37
2018-09-09,supplier,4,14.51
2018-09-09,supplier,3,13.03
2018-09-09,supplier,2,9.78
2018-09-09,supplier,1,0.00
2018-09-09,supplier,0,0.00
2018-09-09,retailer,9,9.78
2018-09-09,retailer,8,11.29
2018-09-09,retailer,7,0.00
2018-09-09,retailer,6,0.00
2018-09-09,retailer,5,0.00
2018-09-09,retailer,4,0.00
2018-09-09,retailer,3,0.00
2018-09-09,retailer,2,0.00
2018-09-09,retailer,1,0.00
2018-09-09,retailer,0,0.00
2018-09-10,supplier,9,5.26
2018-09-10,supplier,8,0.38
2018-09-10,supplier,7,1.05
2018-09-10,supplier,6,4.37
2018-09-10,supplier,5,0.17
2018-09-10,supplier,4,18.30
2018-09-10,supplier,3,14.14
2018-09-10,supplier,2,10.92
2018-09-10,supplier,1,0.00
2018-09-10,supplier,0,0.00
2018-09-10,retailer,9,6.30
2018-09-10,retailer,8,14.64
2018-09-10,retailer,7,0.00
2018-09-10,retailer,6,0.00
2018-09-10,retailer,5,0.00
2018-09-10,retailer,4,0.00
2018-09-10,retailer,3,0.00
2018-09-10,retailer,2,0.00
2018-09-10,retailer,1,0.00
2018-09-10,retailer,0,0.00
2018-09-11,supplier,9,0.38
2018-09-11,supplier,8,1.05
2018-09-11,supplier,7,4.37
2018-09-11,supplier,6,0.17
