Date, node, time since harvest, inventory quantity 
2018-09-03,supplier,0,0.00
2018-09-03,retailer,9,1.16
2018-09-03,retailer,8,5.75
2018-09-03,retailer,7,4.87
2018-09-03,retailer,6,5.26
2018-09-03,retailer,5,0.00
2018-09-03,retailer,4,0.00
2018-09-03,retailer,3,0.00
2018-09-03,retailer,2,0.00
2018-09-03,retailer,1,0.00
2018-09-03,retailer,0,0.00
2018-09-04,supplier,9,0.00
2018-09-04,supplier,8,0.00
2018-09-04,supplier,7,0.00
2018-09-04,supplier,6,0.00
2018-09-04,supplier,5,3.58
2018-09-04,supplier,4,3.32
2018-09-04,supplier,3,7.49
2018-09-04,supplier,2,0.00
2018-09-04,supplier,1,0.00
2018-09-04,supplier,0,0.00
2018-09-04,retailer,9,5.75
2018-09-04,retailer,8,7.19
2018-09-04,retailer,7,7.78
2018-09-04,retailer,6,6.06
2018-09-04,retailer,5,0.00
2018-09-04,retailer,4,0.00
2018-09-04,retailer,3,0.00
2018-09-04,retailer,2,0.00
2018-09-04,retailer,1,0.00
2018-09-04,retailer,0,0.00
2018-09-05,supplier,9,0.00
2018-09-05,supplier,8,0.00
2018-09-05,supplier,7,0.00
2018-09-05,supplier,6,0.00
2018-09-05,supplier,5,1.71
2018-09-05,supplier,4,3.12
2018-09-05,supplier,3,5.78
2018-09-05,supplier,2,0.00
2018-09-05,supplier,1,0.00
2018-09-05,supplier,0,0.00
2018-09-05,retailer,9,0.00
2018-09-05,retailer,8,6.99
2018-09-05,retailer,7,8.36
2018-09-05,retailer,6,5.39
2018-09-05,retailer,5,0.00
2018-09-05,retailer,4,0.00
2018-09-05,retailer,3,0.00
2018-09-05,retailer,2,0.00
2018-09-05,retailer,1,0.00
2018-09-05,retailer,0,0.00
2018-09-06,supplier,9,0.00
2018-09-06,supplier,8,0.00
2018-09-06,supplier,7,0.00
2018-09-06,supplier,6,0.00
2018-09-06,supplier,5,1.20
2018-09-06,supplier,4,1.15
2018-09-06,supplier,3,2.72
2018-09-06,supplier,2,0.00
2018-09-06,supplier,1,0.00
2018-09-06,supplier,0,0.00
2018-09-06,retailer,9,0.00
2018-09-06,retailer,8,10.81
2018-09-06,retailer,7,9.90
2018-09-06,retailer,6,7.99
2018-09-06,retailer,5,0.00
2018-09-06,retailer,4,0.00
2018-09-06,retailer,3,0.00
2018-09-06,retailer,2,0.00
2018-09-06,retailer,1,0.00
2018-09-06,retailer,0,0.00
2018-09-07,supplier,9,0.00
2018-09-07,supplier,8,0.00
2018-09-07,supplier,7,0.00
2018-09-07,supplier,6,0.00
2018-09-07,supplier,5,0.27
2018-09-07,supplier,4,0.39
2018-09-07,supplier,3,0.87
2018-09-07,supplier,2,0.00
2018-09-07,supplier,1,0.00
2018-09-07,supplier,0,0.00
2018-09-07,retailer,9,0.00
2018-09-07,retailer,8,10.24
2018-09-07,retailer,7,11.31
2018-09-07,retailer,6,7.49
2018-09-07,retailer,5,0.00
2018-09-07,retailer,4,0.00
2018-09-07,retailer,3,0.00
2018-09-07,retailer,2,0.00
2018-09-07,retailer,1,0.00
2018-09-07,retailer,0,0.00
2018-09-08,supplier,9,0.00
2018-09-08,supplier,8,0.00
2018-09-08,supplier,7,0.00
2018-09-08,supplier,6,0.00
2018-09-08,supplier,5,0.29
2018-09-08,supplier,4,0.31
2018-09-08,supplier,3,0.67
2018-09-08,supplier,2,0.00
2018-09-08,supplier,1,0.00
2018-09-08,supplier,0,0.00
2018-09-08,retailer,9,0.00
2018-09-08,retailer,8,9.65
2018-09-08,retailer,7,10.61
2018-09-08,retailer,6,5.78
2018-09-08,retailer,5,0.00
2018-09-08,retailer,4,0.00
2018-09-08,retailer,3,0.00
2018-09-08,retailer,2,0.00
2018-09-08,retailer,1,0.00
2018-09-08,retailer,0,0.00
2018-09-09,supplier,9,0.00
2018-09-09,supplier,8,0.00
2018-09-09,supplier,7,0.00
2018-09-09,supplier,6,0.00
2018-09-09,supplier,5,2.56
2018-09-09,supplier,4,2.95
2018-09-09,supplier,3,6.13
2018-09-09,supplier,2,0.00
2018-09-09,supplier,1,0.00
2018-09-09,supplier,0,0.00
2018-09-09,retailer,9,0.27
2018-09-09,retailer,8,11.81
2018-09-09,retailer,7,6.93
2018-09-09,retailer,6,2.72
2018-09-09,retailer,5,0.00
2018-09-09,retailer,4,0.00
2018-09-09,retailer,3,0.00
2018-09-09,retailer,2,0.00
2018-09-09,retailer,1,0.00
2018-09-09,retailer,0,0.00
2018-09-10,supplier,9,0.00
2018-09-10,supplier,8,0.00
2018-09-10,supplier,7,0.00
2018-09-10,supplier,6,0.00
2018-09-10,supplier,5,2.88
